# SegDINO Rank 2
# Run ID: 20260131_16_4080b703
# Backbone: facebook/dinov3-vits16-pretrain-lvd1689m
# Best IoU: 0.1412
epoch,train_loss,val_loss,dice,iou,epoch_duration,cumulative_duration
1,0.699545,0.562466,0.213218,0.129337,674.9,674.9
2,0.525953,0.553887,0.222309,0.135964,670.1,1345.1
3,0.524735,0.548292,0.228640,0.140551,668.5,2013.6
4,0.614643,0.583164,0.226210,0.138954,668.6,2682.2
5,0.511925,0.593434,0.228819,0.140955,668.7,3350.9
6,0.726935,0.566004,0.229067,0.141194,668.7,4019.6
